time	V(out1)-V(out2)	I(V5)
2.507094058016038e-007	1.287584e-001	9.477319e-001
2.509627074060799e-007	1.289931e-001	9.476867e-001
2.514693106150321e-007	1.294625e-001	9.475961e-001
2.519942195729912e-007	1.299485e-001	9.475030e-001
2.529676347321917e-007	1.308496e-001	9.473322e-001
2.543517904703977e-007	1.321303e-001	9.470915e-001
2.563849299483400e-007	1.340177e-001	9.467399e-001
2.599156385532690e-007	1.373546e-001	9.461254e-001
2.648809867135186e-007	1.421326e-001	9.450730e-001
2.737957239681617e-007	1.506178e-001	9.410920e-001
2.860845805692359e-007	1.620382e-001	9.422470e-001
2.896175745382379e-007	1.652929e-001	9.585407e-001
2.915001184617945e-007	1.670270e-001	9.770179e-001
2.932688929660779e-007	1.686552e-001	9.968973e-001
2.943264944320454e-007	1.696284e-001	1.006351e+000
2.946448474423044e-007	1.699212e-001	1.005997e+000
2.948321317037636e-007	1.700935e-001	1.004299e+000
2.950492729464386e-007	1.702932e-001	1.002290e+000
2.952294949183638e-007	1.704589e-001	1.000622e+000
2.954140679203502e-007	1.706286e-001	9.989135e-001
2.956098816354181e-007	1.708087e-001	9.971012e-001
2.958103049900215e-007	1.709929e-001	9.952462e-001
2.960746190409922e-007	1.712359e-001	9.928000e-001
2.963201763141134e-007	1.714616e-001	9.905273e-001
2.966440019376965e-007	1.717592e-001	9.875302e-001
2.969813714835538e-007	1.720692e-001	9.844078e-001
2.974347425177672e-007	1.724858e-001	9.802118e-001
2.979098548791904e-007	1.729222e-001	9.758145e-001
2.985455072803277e-007	1.735059e-001	9.699314e-001
2.992428445375588e-007	1.741461e-001	9.634774e-001
3.002060975921334e-007	1.750302e-001	9.545624e-001
3.012530829889701e-007	1.759905e-001	9.450259e-001
3.033470537826437e-007	1.779102e-001	9.282058e-001
